force (kg),x_mag,y_mag,z_mag,,force (kg),,,
0,-0.000618366,0.000313275,2.01E-05,,0,,,
0.005,-0.000749864,0.000448307,-0.000180474,,0.0118,,,
0.01,-0.000749864,0.000448307,-0.000180474,,0.0236,,,
0.015,-0.000618366,0.000448307,2.01E-05,,0.0354,,,
0.02,-0.000749864,0.000313275,-0.000280738,,0.0472,,,
0.025,-0.000618366,0.000583339,-0.000180474,,0.059,,,
0.03,-0.000618366,0.000448307,-8.02E-05,,0.0708,,,
0.035,-0.000684115,0.000448307,-8.02E-05,,0.0826,,,
0.04,-0.000684115,0.000448307,-8.02E-05,,0.0944,,,
0.045,-0.000749864,0.000178243,-0.000180474,,0.1062,,,
0.05,-0.000684115,0.000448307,2.01E-05,,0.118,,,
0.055,-0.000749864,0.000313275,-8.02E-05,,0.1298,,,
0.06,-0.000749864,0.000448307,-0.000381001,,0.1416,,,
0.065,-0.000749864,0.000448307,-0.000381001,,0.1534,,,
0.07,-0.001604597,4.32E-05,0.000320843,,0.1652,,,
0.075,-0.001670345,0.000583339,0.00052137,,0.177,,,
0.08,0.000433613,0.004499275,0.001724532,,0.1888,,,
0.085,-0.001407351,0.001393533,0.00082216,,0.2006,,,
0.09,-0.000749864,0.000313275,0.000120316,,0.2124,,,
0.095,-0.001670345,0.004634307,0.002125586,,0.2242,,,
0.1,-0.001670345,0.004634307,0.002125586,,0.236,,,
0.105,-0.000289623,0.006524759,0.002927693,,0.2478,,,
0.11,-0.000289623,0.006524759,0.002927693,,0.2596,,,
0.115,-0.000289623,0.006524759,0.002927693,,0.2714,,,
0.12,-0.000289623,0.006524759,0.002927693,,0.2832,,,
0.125,-0.001670345,0.004499275,0.002225849,,0.295,,,
0.13,3.91E-05,0.000853404,0.000421107,,0.3068,,,
0.135,-0.000158126,0.000448307,-8.02E-05,,0.3186,,,
0.14,-0.001538848,0.005309468,0.00252664,,0.3304,,,
0.145,-0.001341602,0.006119662,0.00312822,,0.3422,,,
0.15,-0.001407351,0.001258501,0.000721897,,0.354,,,
0.155,-0.001670345,0.002743855,0.002025322,,0.3658,,,
0.16,-0.001604597,0.005039404,0.002927693,,0.3776,,,
0.165,-0.001275853,-0.000226854,0.00052137,,0.3894,,,
0.17,-0.00042112,0.00598463,0.002727166,,0.4012,,,
0.175,-0.001473099,0.005714565,0.00282743,,0.413,,,
0.18,-0.001867592,0.002068694,0.001724532,,0.4248,,,
0.185,0.000236367,0.002068694,0.000922424,,0.4366,,,
0.19,0.000236367,0.002068694,0.000421107,,0.4484,,,
0.195,0.000170618,0.001393533,0.000421107,,0.4602,,,
0.2,-0.001473099,0.00598463,0.003629538,,0.472,,,
0.205,-9.24E-05,0.004094178,0.001624268,,0.4838,,,
0.21,-9.24E-05,0.004094178,0.001624268,,0.4956,,,
0.215,-0.000486869,0.000853404,-8.02E-05,,0.5074,,,
0.22,-0.002064838,0.004094178,0.00312822,,0.5192,,,
0.225,-0.002130586,0.003554049,0.001925059,,0.531,,,
0.23,-0.002130586,0.003554049,0.001925059,,0.5428,,,
0.235,-0.001341602,0.006794823,0.003328747,,0.5546,,,
0.24,-0.001604597,0.006794823,0.003328747,,0.5664,,,
0.245,-0.001604597,0.006794823,0.003328747,,0.5782,,,
0.25,-0.00042112,0.001663597,0.000721897,,0.59,,,
0.255,-0.00042112,0.001663597,0.000721897,,0.6018,,,
0.26,-0.00042112,0.001663597,0.000721897,,0.6136,,,
0.265,-0.00042112,0.001663597,0.000721897,,0.6254,,,
0.27,-0.00042112,0.001663597,0.000721897,,0.6372,,,
0.275,-0.00042112,0.001663597,0.000721897,,0.649,,,
0.28,-0.00042112,0.001663597,0.000721897,,0.6608,,,
