force (kg),x_mag,y_mag,z_mag,,,,,
0,-7.89E-06,4.46E-05,-2.21E-05,,0,,,
0.005,-7.89E-06,4.46E-05,-0.000222585,,0.0118,,,
0.01,-7.36E-05,4.46E-05,-0.000222585,,0.0236,,,
0.015,0.000452351,0.000449657,-2.21E-05,,0.0354,,,
0.02,0.000715346,4.46E-05,-0.000122321,,0.0472,,,
0.025,0.0005181,0.000179593,-0.000423112,,0.059,,,
0.03,-0.000402382,0.00058469,-0.000924429,,0.0708,,,
0.035,0.000452351,4.46E-05,-0.000222585,,0.0826,,,
0.04,0.000452351,4.46E-05,-0.000222585,,0.0944,,,
0.045,-7.89E-06,0.000449657,-0.000423112,,0.1062,,,
0.05,-0.000139387,0.000449657,-0.00152601,,0.118,,,
0.055,-0.000139387,0.000449657,-0.00152601,,0.1298,,,
0.06,-0.000270885,0.00058469,-0.001325483,,0.1416,,,
0.065,0.000781094,0.000179593,-0.000523375,,0.1534,,,
0.07,0.000781094,-9.05E-05,-0.000322848,,0.1652,,,
0.075,0.000715346,-9.05E-05,-0.000322848,,0.177,,,
0.08,0.000320854,0.000449657,-0.000122321,,0.1888,,,
0.085,0.000320854,0.000449657,-0.000122321,,0.2006,,,
0.09,0.000123608,0.00058469,-0.00152601,,0.2124,,,
0.095,0.000715346,-9.05E-05,-0.000122321,,0.2242,,,
0.1,0.000320854,0.000449657,-0.000423112,,0.236,,,
0.105,0.000255105,0.000719722,-0.001024693,,0.2478,,,
0.11,0.000255105,0.000719722,-0.001024693,,0.2596,,,
0.115,0.000255105,0.000719722,-0.001024693,,0.2714,,,
0.12,0.000452351,0.000449657,-0.000423112,,0.2832,,,
0.125,0.000452351,0.000449657,-0.000423112,,0.295,,,
0.13,0.000452351,0.000449657,-0.000423112,,0.3068,,,
0.135,0.000320854,0.000719722,-0.001024693,,0.3186,,,
0.14,0.000189356,0.000989786,-0.001626274,,0.3304,,,
0.145,0.000189356,0.000989786,-0.001626274,,0.3422,,,
0.15,0.000123608,0.000989786,-0.000924429,,0.354,,,
0.155,0.000123608,0.000989786,-0.000924429,,0.3658,,,
0.16,0.001044089,0.00058469,-0.000723902,,0.3776,,,
0.165,0.001044089,0.00058469,-0.000723902,,0.3894,,,
0.17,0.001307084,0.000449657,-0.000122321,,0.4012,,,
0.175,0.001044089,0.000449657,-0.000824166,,0.413,,,
0.18,0.001044089,0.000449657,-0.000824166,,0.4248,,,
0.185,0.001044089,0.000449657,-0.000824166,,0.4366,,,
0.19,0.001044089,0.000449657,-0.000824166,,0.4484,,,
0.195,0.001044089,0.000449657,-0.000824166,,0.4602,,,
0.2,0.001044089,0.000449657,-0.000824166,,0.472,,,
0.205,0.000715346,0.000989786,-0.001325483,,0.4838,,,
0.21,0.000583848,0.000854754,-0.001024693,,0.4956,,,
0.215,0.000583848,0.000854754,-0.001024693,,0.5074,,,
0.22,0.000978341,0.001259851,-0.000322848,,0.5192,,,
0.225,0.000846843,0.000989786,-0.000623639,,0.531,,,
0.23,0.000846843,0.000989786,-0.000623639,,0.5428,,,
0.235,0.000781094,0.001394883,-0.001425747,,0.5546,,,
0.24,0.000978341,0.001259851,-0.001425747,,0.5664,,,
0.245,0.000978341,0.001259851,-0.001425747,,0.5782,,,
0.25,0.001438581,0.001394883,-0.000222585,,0.59,,,
0.255,0.001372833,0.001394883,-0.00122522,,0.6018,,,
0.26,0.00150433,0.001394883,-0.000322848,,0.6136,,,
0.265,0.001241335,0.00179998,-0.001325483,,0.6254,,,
0.27,0.001833074,0.001394883,-0.000523375,,0.6372,,,
0.275,0.000978341,0.00179998,-0.001124956,,0.649,,,
0.28,0.000978341,0.001664948,-0.000523375,,0.6608,,,
0.285,0.001438581,0.001529915,-0.000824166,,0.6726,,,
0.29,0.001898822,0.00179998,-0.001124956,,0.6844,,,
